Date,USDCNY
2000-01-31,8.2777
2000-02-29,8.2786
2000-03-31,8.2787
2000-04-30,8.2799
2000-05-31,8.2773
2000-06-30,8.2782
2000-07-31,8.2792
2000-08-31,8.2786
2000-09-30,8.2798
2000-10-31,8.2775
2000-11-30,8.2777
2000-12-31,8.2774
2001-01-31,8.2781
2001-02-28,8.2783
2001-03-31,8.2777
2001-04-30,8.2774
2001-05-31,8.277
2001-06-30,8.2767
2001-07-31,8.277
2001-08-31,8.2769
2001-09-30,8.2768
2001-10-31,8.2768
2001-11-30,8.2772
2001-12-31,8.2766
2002-01-31,8.2765
2002-02-28,8.2765
2002-03-31,8.2774
2002-04-30,8.2773
2002-05-31,8.2765
2002-06-30,8.2771
2002-07-31,8.2767
2002-08-31,8.2768
2002-09-30,8.2773
2002-10-31,8.277
2002-11-30,8.2772
2002-12-31,8.2771
2003-01-31,8.2768
2003-02-28,8.2775
2003-03-31,8.2774
2003-04-30,8.2771
2003-05-31,8.2768
2003-06-30,8.2775
2003-07-31,8.2773
2003-08-31,8.2771
2003-09-30,8.277
2003-10-31,8.2766
2003-11-30,8.277
2003-12-31,8.2767
2004-01-31,8.2768
2004-02-29,8.2769
2004-03-31,8.277
2004-04-30,8.2771
2004-05-31,8.2768
2004-06-30,8.2766
2004-07-31,8.2769
2004-08-31,8.2766
2004-09-30,8.2766
2004-10-31,8.2765
2004-11-30,8.2765
2004-12-31,8.2765
2005-01-31,8.2765
2005-02-28,8.2765
2005-03-31,8.2765
2005-04-30,8.2765
2005-05-31,8.2765
2005-06-30,8.2765
2005-07-31,8.1056
2005-08-31,8.0998
2005-09-30,8.0768
2005-10-31,8.0678
2005-11-30,8.0756
2005-12-31,8.0682
2006-01-31,8.062
2006-02-28,8.0379
2006-03-31,8.0155
2006-04-30,8.0114
2006-05-31,8.0215
2006-06-30,7.9905
2006-07-31,7.969
2006-08-31,7.9533
2006-09-30,7.9055
2006-10-31,7.8765
2006-11-30,7.8323
2006-12-31,7.8065
2007-01-31,7.7743
2007-02-28,7.7365
2007-03-31,7.7298
2007-04-30,7.705
2007-05-31,7.645
2007-06-30,7.611
2007-07-31,7.572
2007-08-31,7.5435
2007-09-30,7.5045
2007-10-31,7.471
2007-11-30,7.3965
2007-12-31,7.3036
2008-01-31,7.1818
2008-02-29,7.1115
2008-03-31,7.012
2008-04-30,6.987
2008-05-31,6.94
2008-06-30,6.8543
2008-07-31,6.831
2008-08-31,6.8482
2008-09-30,6.8431
2008-10-31,6.839
2008-11-30,6.8254
2008-12-31,6.8225
2009-01-31,6.8392
2009-02-28,6.8395
2009-03-31,6.8329
2009-04-30,6.818
2009-05-31,6.8278
2009-06-30,6.8302
2009-07-31,6.8319
2009-08-31,6.8299
2009-09-30,6.826
2009-10-31,6.8264
2009-11-30,6.8274
2009-12-31,6.8272
2010-01-31,6.8268
2010-02-28,6.8261
2010-03-31,6.8259
2010-04-30,6.8252
2010-05-31,6.8278
2010-06-30,6.7814
2010-07-31,6.775
2010-08-31,6.8074
2010-09-30,6.6912
2010-10-31,6.6708
2010-11-30,6.667
2010-12-31,6.5897
2011-01-31,6.603
2011-02-28,6.5716
2011-03-31,6.5485
2011-04-30,6.491
2011-05-31,6.4791
2011-06-30,6.464
2011-07-31,6.4366
2011-08-31,6.3782
2011-09-30,6.3859
2011-10-31,6.3549
2011-11-30,6.3789
2011-12-31,6.2948
2012-01-31,6.3085
2012-02-29,6.2936
2012-03-31,6.298
2012-04-30,6.3102
2012-05-31,6.369
2012-06-30,6.3541
2012-07-31,6.3627
2012-08-31,6.3484
2012-09-30,6.2849
2012-10-31,6.2372
2012-11-30,6.2267
2012-12-31,6.2303
2013-01-31,6.2188
2013-02-28,6.2213
2013-03-31,6.2108
2013-04-30,6.165
2013-05-31,6.1345
2013-06-30,6.1376
2013-07-31,6.1289
2013-08-31,6.1195
2013-09-30,6.122
2013-10-31,6.0945
2013-11-30,6.0932
2013-12-31,6.0539
2014-01-31,6.06
2014-02-28,6.145
2014-03-31,6.218
2014-04-30,6.2593
2014-05-31,6.2473
2014-06-30,6.205
